town,year,month,PM2.5
嘉義縣義竹鄉,2016,2,1070.0
嘉義縣鹿草鄉,2016,2,1055.0
基隆市七堵區,2016,2,540.0
基隆市仁愛區,2016,2,540.0
基隆市信義區,2016,2,540.0
基隆市安樂區,2016,2,495.0
基隆市暖暖區,2016,2,540.0
宜蘭縣三星鄉,2016,2,436.67
宜蘭縣五結鄉,2016,2,352.5
宜蘭縣冬山鄉,2016,2,326.25
宜蘭縣南澳鄉,2016,2,388.7
宜蘭縣員山鄉,2016,2,471.0
宜蘭縣壯圍鄉,2016,2,440.0
宜蘭縣大同鄉,2016,2,468.46
宜蘭縣宜蘭市,2016,2,450.0
宜蘭縣礁溪鄉,2016,2,468.75
宜蘭縣蘇澳鎮,2016,2,330.0
宜蘭縣頭城鎮,2016,2,522.86
屏東縣三地門鄉,2016,2,1151.54
屏東縣九如鄉,2016,2,1200.0
屏東縣佳冬鄉,2016,2,1270.0
屏東縣來義鄉,2016,2,1275.0
屏東縣內埔鄉,2016,2,1230.0
屏東縣南州鄉,2016,2,1260.0
屏東縣屏東市,2016,2,1230.0
屏東縣崁頂鄉,2016,2,1270.0
屏東縣恆春鎮,2016,2,292.5
屏東縣新園鄉,2016,2,1180.0
屏東縣新埤鄉,2016,2,1320.0
屏東縣春日鄉,2016,2,1213.64
屏東縣東港鎮,2016,2,1160.0
屏東縣枋寮鄉,2016,2,1242.0
屏東縣枋山鄉,2016,2,1080.0
屏東縣林邊鄉,2016,2,1215.0
屏東縣泰武鄉,2016,2,1272.0
屏東縣滿州鄉,2016,2,334.0
屏東縣潮州鎮,2016,2,1330.0
屏東縣牡丹鄉,2016,2,581.25
屏東縣獅子鄉,2016,2,928.7
屏東縣琉球鄉,2016,2,1170.0
屏東縣瑪家鄉,2016,2,1206.0
屏東縣竹田鄉,2016,2,1280.0
屏東縣萬丹鄉,2016,2,1255.0
屏東縣萬巒鄉,2016,2,1300.0
屏東縣車城鄉,2016,2,390.0
屏東縣里港鄉,2016,2,1155.0
屏東縣長治鄉,2016,2,1215.0
屏東縣霧臺鄉,2016,2,1140.0
屏東縣高樹鄉,2016,2,1157.14
屏東縣鹽埔鄉,2016,2,1190.0
屏東縣麟洛鄉,2016,2,1230.0
彰化縣二林鎮,2016,2,855.0
彰化縣二水鄉,2016,2,990.0
彰化縣伸港鄉,2016,2,870.0
彰化縣北斗鎮,2016,2,930.0
彰化縣和美鎮,2016,2,855.0
彰化縣員林市,2016,2,885.0
彰化縣埔心鄉,2016,2,870.0
彰化縣埔鹽鄉,2016,2,840.0
彰化縣埤頭鄉,2016,2,864.0
彰化縣大城鄉,2016,2,943.33
彰化縣大村鄉,2016,2,847.5
彰化縣彰化市,2016,2,817.5
彰化縣永靖鄉,2016,2,885.0
彰化縣溪州鄉,2016,2,972.86
彰化縣溪湖鎮,2016,2,862.5
彰化縣田中鎮,2016,2,975.0
彰化縣田尾鄉,2016,2,900.0
彰化縣社頭鄉,2016,2,937.5
彰化縣福興鄉,2016,2,855.0
彰化縣秀水鄉,2016,2,840.0
彰化縣竹塘鄉,2016,2,922.5
彰化縣線西鄉,2016,2,870.0
彰化縣芬園鄉,2016,2,864.0
彰化縣花壇鄉,2016,2,832.5
彰化縣芳苑鄉,2016,2,870.0
彰化縣鹿港鎮,2016,2,870.0
新北市三峽區,2016,2,602.14
新北市三芝區,2016,2,408.0
新北市三重區,2016,2,630.0
新北市中和區,2016,2,600.0
新北市五股區,2016,2,600.0
新北市八里區,2016,2,592.5
新北市土城區,2016,2,570.0
新北市坪林區,2016,2,555.0
新北市平溪區,2016,2,555.0
新北市新店區,2016,2,600.0
新北市新莊區,2016,2,640.0
新北市板橋區,2016,2,645.0
新北市林口區,2016,2,570.0
新北市樹林區,2016,2,610.0
新北市永和區,2016,2,540.0
新北市汐止區,2016,2,565.71
新北市淡水區,2016,2,530.0
新北市深坑區,2016,2,585.0
新北市烏來區,2016,2,583.33
新北市瑞芳區,2016,2,540.0
新北市石碇區,2016,2,579.23
新北市石門區,2016,2,480.0
新北市萬里區,2016,2,490.0
新北市蘆洲區,2016,2,600.0
新北市貢寮區,2016,2,540.0
新北市金山區,2016,2,472.5
新北市雙溪區,2016,2,540.0
新北市鶯歌區,2016,2,615.0
新竹市北區,2016,2,570.0
新竹市東區,2016,2,570.0
新竹市香山區,2016,2,594.0
新竹縣五峰鄉,2016,2,682.5
新竹縣北埔鄉,2016,2,682.5
新竹縣寶山鄉,2016,2,620.0
新竹縣尖石鄉,2016,2,666.0
新竹縣峨眉鄉,2016,2,654.0
新竹縣新埔鎮,2016,2,695.0
新竹縣新豐鄉,2016,2,702.0
新竹縣橫山鄉,2016,2,690.0
新竹縣湖口鄉,2016,2,735.0
新竹縣竹北市,2016,2,618.0
新竹縣竹東鎮,2016,2,675.0
新竹縣芎林鄉,2016,2,690.0
新竹縣關西鎮,2016,2,685.38
桃園市中壢區,2016,2,645.0
桃園市八德區,2016,2,630.0
桃園市大園區,2016,2,682.5
桃園市大溪區,2016,2,657.27
桃園市平鎮區,2016,2,654.0
桃園市復興區,2016,2,634.29
桃園市新屋區,2016,2,720.0
桃園市桃園區,2016,2,630.0
桃園市楊梅區,2016,2,693.33
桃園市蘆竹區,2016,2,621.43
桃園市觀音區,2016,2,723.0
桃園市龍潭區,2016,2,708.75
桃園市龜山區,2016,2,600.0
臺中市北屯區,2016,2,755.0
臺中市南屯區,2016,2,780.0
臺中市后里區,2016,2,675.0
臺中市外埔區,2016,2,648.0
臺中市大安區,2016,2,710.0
臺中市大甲區,2016,2,660.0
臺中市大肚區,2016,2,802.5
臺中市大里區,2016,2,750.0
臺中市大雅區,2016,2,765.0
臺中市太平區,2016,2,765.0
臺中市新社區,2016,2,744.0
臺中市東勢區,2016,2,711.43
臺中市東區,2016,2,750.0
臺中市梧棲區,2016,2,740.0
臺中市沙鹿區,2016,2,735.0
臺中市清水區,2016,2,743.33
臺中市潭子區,2016,2,750.0
臺中市烏日區,2016,2,780.0
臺中市石岡區,2016,2,720.0
臺中市神岡區,2016,2,740.0
臺中市西區,2016,2,750.0
臺中市西屯區,2016,2,795.0
臺中市豐原區,2016,2,720.0
臺中市霧峰區,2016,2,802.5
臺中市龍井區,2016,2,780.0
臺北市中山區,2016,2,660.0
臺北市中正區,2016,2,570.0
臺北市信義區,2016,2,600.0
臺北市內湖區,2016,2,585.0
臺北市北投區,2016,2,510.0
臺北市南港區,2016,2,585.0
臺北市士林區,2016,2,515.0
臺北市文山區,2016,2,592.5
臺北市松山區,2016,2,600.0
臺北市萬華區,2016,2,630.0
臺南市七股區,2016,2,1105.71
臺南市下營區,2016,2,1110.0
臺南市中西區,2016,2,1050.0
臺南市仁德區,2016,2,1040.0
臺南市佳里區,2016,2,1110.0
臺南市六甲區,2016,2,1110.0
臺南市北區,2016,2,1020.0
臺南市北門區,2016,2,1080.0
臺南市南化區,2016,2,1098.0
臺南市南區,2016,2,1020.0
臺南市善化區,2016,2,1110.0
臺南市大內區,2016,2,1110.0
臺南市學甲區,2016,2,1100.0
臺南市安南區,2016,2,1095.0
臺南市安定區,2016,2,1110.0
臺南市官田區,2016,2,1110.0
臺南市將軍區,2016,2,1098.0
臺南市山上區,2016,2,1110.0
臺南市左鎮區,2016,2,1110.0
臺南市後壁區,2016,2,1105.71
臺南市新化區,2016,2,1102.5
臺南市新市區,2016,2,1110.0
臺南市新營區,2016,2,1110.0
臺南市東區,2016,2,1020.0
臺南市東山區,2016,2,1101.0
臺南市柳營區,2016,2,1110.0
臺南市楠西區,2016,2,1101.82
臺南市歸仁區,2016,2,1074.0
臺南市永康區,2016,2,1065.0
臺南市玉井區,2016,2,1110.0
臺南市白河區,2016,2,1100.77
臺南市西港區,2016,2,1110.0
臺南市關廟區,2016,2,1098.0
臺南市鹽水區,2016,2,1110.0
臺南市麻豆區,2016,2,1110.0
臺南市龍崎區,2016,2,1110.0
臺東縣卑南鄉,2016,2,450.0
臺東縣大武鄉,2016,2,996.0
臺東縣太麻里鄉,2016,2,757.5
臺東縣延平鄉,2016,2,437.14
臺東縣成功鎮,2016,2,390.0
臺東縣東河鄉,2016,2,390.0
臺東縣池上鄉,2016,2,390.0
臺東縣海端鄉,2016,2,390.0
臺東縣綠島鄉,2016,2,360.0
臺東縣臺東市,2016,2,365.45
臺東縣蘭嶼鄉,2016,2,300.0
臺東縣達仁鄉,2016,2,1015.5
臺東縣金峰鄉,2016,2,946.36
臺東縣長濱鄉,2016,2,462.5
臺東縣關山鎮,2016,2,390.0
臺東縣鹿野鄉,2016,2,395.0
花蓮縣光復鄉,2016,2,612.5
花蓮縣卓溪鄉,2016,2,514.62
花蓮縣吉安鄉,2016,2,480.0
花蓮縣壽豐鄉,2016,2,490.0
花蓮縣富里鄉,2016,2,415.0
花蓮縣新城鄉,2016,2,480.0
花蓮縣玉里鎮,2016,2,505.91
花蓮縣瑞穗鄉,2016,2,597.69
花蓮縣秀林鄉,2016,2,492.69
花蓮縣花蓮市,2016,2,480.0
花蓮縣萬榮鄉,2016,2,618.0
花蓮縣豐濱鄉,2016,2,555.88
花蓮縣鳳林鎮,2016,2,549.0
苗栗縣三灣鄉,2016,2,637.5
苗栗縣三義鄉,2016,2,505.0
苗栗縣公館鄉,2016,2,702.86
苗栗縣卓蘭鎮,2016,2,606.0
苗栗縣南庄鄉,2016,2,656.25
苗栗縣大湖鄉,2016,2,570.0
苗栗縣後龍鎮,2016,2,716.67
苗栗縣泰安鄉,2016,2,660.0
苗栗縣獅潭鄉,2016,2,681.43
苗栗縣竹南鎮,2016,2,607.5
苗栗縣苑裡鎮,2016,2,558.0
苗栗縣苗栗市,2016,2,750.0
苗栗縣西湖鄉,2016,2,720.0
苗栗縣通霄鎮,2016,2,621.82
苗栗縣造橋鄉,2016,2,678.0
苗栗縣銅鑼鄉,2016,2,585.0
