ID1_CITY,year,week,case_c
0733,2018,21,10
0733,2018,22,17
0733,2018,23,6
0733,2018,24,13
0733,2018,25,8
0733,2018,26,17
0733,2018,27,13
0733,2018,28,15
0733,2018,29,14
0733,2018,30,12
0733,2018,31,12
0733,2018,32,6
0733,2018,33,12
0733,2018,34,12
0733,2018,35,14
0733,2018,36,21
0733,2018,37,7
0733,2018,38,15
0733,2018,39,11
0733,2018,40,15
0733,2018,41,14
0733,2018,42,15
0733,2018,43,8
0733,2018,44,19
0733,2018,45,9
0733,2018,46,13
0733,2018,47,4
0733,2018,48,16
0733,2018,49,13
0733,2018,50,18
0733,2018,51,9
0733,2018,52,12
0733,2018,53,12
0734,2016,1,8
0734,2016,2,8
0734,2016,3,7
0734,2016,4,8
0734,2016,5,14
0734,2016,6,18
0734,2016,7,16
0734,2016,8,14
0734,2016,9,7
0734,2016,10,13
0734,2016,11,11
0734,2016,12,7
0734,2016,13,10
0734,2016,14,15
0734,2016,15,7
0734,2016,16,12
0734,2016,17,9
0734,2016,18,11
0734,2016,19,3
0734,2016,20,10
0734,2016,21,7
0734,2016,22,13
0734,2016,23,6
0734,2016,24,4
0734,2016,25,5
0734,2016,26,11
0734,2016,27,5
0734,2016,28,6
0734,2016,29,7
0734,2016,30,8
0734,2016,31,3
0734,2016,32,3
0734,2016,33,4
0734,2016,34,5
0734,2016,35,7
0734,2016,36,9
0734,2016,37,10
0734,2016,38,7
0734,2016,39,10
0734,2016,40,3
0734,2016,41,4
0734,2016,42,12
0734,2016,43,7
0734,2016,44,13
0734,2016,45,9
0734,2016,46,10
0734,2016,47,8
0734,2016,48,4
0734,2016,49,12
0734,2016,50,5
0734,2016,51,13
0734,2016,52,5
0734,2016,53,14
0734,2017,1,6
0734,2017,2,8
0734,2017,3,10
0734,2017,4,3
0734,2017,5,9
0734,2017,6,11
0734,2017,7,5
0734,2017,8,8
0734,2017,9,6
0734,2017,10,9
0734,2017,11,3
0734,2017,12,10
0734,2017,13,7
0734,2017,14,4
0734,2017,15,8
0734,2017,16,12
0734,2017,17,7
0734,2017,18,6
0734,2017,19,4
0734,2017,20,4
0734,2017,21,6
0734,2017,22,8
0734,2017,23,10
0734,2017,24,8
0734,2017,25,3
0734,2017,26,3
0734,2017,27,9
0734,2017,28,12
0734,2017,29,5
0734,2017,30,4
0734,2017,31,4
0734,2017,32,6
0734,2017,33,8
0734,2017,34,11
0734,2017,35,6
0734,2017,36,10
0734,2017,37,9
0734,2017,38,3
0734,2017,39,7
0734,2017,40,7
0734,2017,41,7
0734,2017,42,7
0734,2017,43,6
0734,2017,44,9
0734,2017,45,5
0734,2017,46,7
0734,2017,47,9
0734,2017,48,10
0734,2017,49,7
0734,2017,50,8
0734,2017,51,4
0734,2017,52,4
0734,2017,53,4
0734,2018,1,4
0734,2018,2,10
0734,2018,3,5
0734,2018,4,11
0734,2018,5,4
0734,2018,6,4
0734,2018,7,11
0734,2018,8,4
0734,2018,9,3
0734,2018,10,4
0734,2018,11,11
0734,2018,12,5
0734,2018,13,4
0734,2018,14,3
0734,2018,15,13
0734,2018,16,6
0734,2018,17,7
0734,2018,18,5
0734,2018,19,8
0734,2018,20,3
0734,2018,21,4
0734,2018,22,5
0734,2018,23,10
0734,2018,24,7
0734,2018,25,7
0734,2018,26,7
0734,2018,27,4
0734,2018,28,5
0734,2018,29,6
0734,2018,30,7
0734,2018,31,14
0734,2018,32,4
0734,2018,33,9
0734,2018,34,9
0734,2018,35,5
0734,2018,36,12
0734,2018,37,9
0734,2018,38,10
0734,2018,39,7
0734,2018,40,4
0734,2018,41,14
0734,2018,42,12
0734,2018,43,12
0734,2018,44,10
0734,2018,45,5
0734,2018,46,10
0734,2018,47,10
0734,2018,48,10
0734,2018,49,10
0734,2018,50,13
0734,2018,51,4
0734,2018,52,8
0734,2018,53,8
0734,2019,1,3
0734,2019,2,5
0734,2019,3,8
0734,2019,4,9
0734,2019,5,11
0734,2019,6,3
0734,2019,7,13
0734,2019,8,4
0734,2019,9,11
0734,2019,10,3
0734,2019,11,7
0734,2019,12,11
0734,2019,13,10
0734,2019,14,4
0734,2019,15,10
0734,2019,16,10
0734,2019,17,9
0734,2019,18,9
0734,2019,19,4
0734,2019,20,9
0734,2019,21,11
0734,2019,22,10
0734,2019,23,10
0734,2019,24,11
0734,2019,25,6
0734,2019,26,4
0734,2019,27,3
0734,2019,28,3
0734,2019,29,4
0734,2019,30,5
0734,2019,31,4
0734,2019,32,4
0734,2019,33,4
0734,2019,34,5
0734,2019,35,6
0734,2019,36,9
0734,2019,37,14
0734,2019,38,3
0734,2019,39,8
0734,2019,40,8
0734,2019,41,7
0734,2019,42,10
0734,2019,43,8
0734,2019,44,7
0734,2019,45,8
0734,2019,46,9
0734,2019,47,10
0734,2019,48,8
0734,2019,49,7
0734,2019,50,4
0734,2019,51,4
0734,2019,52,6
0734,2019,53,7
0735,2017,1,26
0735,2017,2,27
0735,2017,3,24
0735,2017,4,22
0735,2017,5,12
0735,2017,6,30
0735,2017,7,19
0735,2017,8,33
0735,2017,9,14
0735,2017,10,28
0735,2017,11,33
0735,2017,12,29
0735,2017,13,23
0735,2017,14,19
0735,2017,15,32
0735,2017,16,29
0735,2017,17,34
0735,2017,18,29
0735,2017,19,25
0735,2017,20,28
0735,2017,21,28
0735,2017,22,15
0735,2017,23,26
0735,2017,24,20
0735,2017,25,29
0735,2017,26,31
0735,2017,27,31
0735,2017,28,27
0735,2017,29,21
0735,2017,30,23
0735,2017,31,27
0735,2017,32,23
0735,2017,33,21
0735,2017,34,20
0735,2017,35,20
0735,2017,36,24
0735,2017,37,28
0735,2017,38,22
0735,2017,39,20
0735,2017,40,24
0735,2017,41,14
0735,2017,42,18
0735,2017,43,26
0735,2017,44,23
0735,2017,45,22
0735,2017,46,22
0735,2017,47,16
0735,2017,48,22
0735,2017,49,27
0735,2017,50,23
0735,2017,51,18
0735,2017,52,28
0735,2017,53,28
0735,2018,1,17
0735,2018,2,25
0735,2018,3,20
0735,2018,4,23
0735,2018,5,25
0735,2018,6,23
0735,2018,7,24
0735,2018,8,24
0735,2018,9,26
0735,2018,10,28
0735,2018,11,31
0735,2018,12,32
0735,2018,13,31
0735,2018,14,18
0735,2018,15,25
0735,2018,16,21
0735,2018,17,13
0735,2018,18,22
0735,2018,19,18
0735,2018,20,22
0735,2018,21,21
0735,2018,22,13
0735,2018,23,20
0735,2018,24,20
0735,2018,25,18
0735,2018,26,22
0735,2018,27,20
0735,2018,28,22
0735,2018,29,21
0735,2018,30,18
0735,2018,31,24
0735,2018,32,17
0735,2018,33,19
0735,2018,34,21
0735,2018,35,28
0735,2018,36,23
0735,2018,37,16
0735,2018,38,28
0735,2018,39,22
0735,2018,40,26
0735,2018,41,21
0735,2018,42,26
0735,2018,43,27
0735,2018,44,27
0735,2018,45,17
0735,2018,46,24
0735,2018,47,20
0735,2018,48,27
0735,2018,49,27
0735,2018,50,32
0735,2018,51,29
0735,2018,52,31
0735,2018,53,31
0736,2016,1,48
0736,2016,2,48
0736,2016,3,34
0736,2016,4,33
0736,2016,5,29
0736,2016,6,47
0736,2016,7,17
0736,2016,8,48
0736,2016,9,34
0736,2016,10,53
0736,2016,11,43
0736,2016,12,42
0736,2016,13,32
0736,2016,14,49
0736,2016,15,31
0736,2016,16,47
0736,2016,17,40
0736,2016,18,36
0736,2016,19,52
0736,2016,20,50
0736,2016,21,44
0736,2016,22,41
0736,2016,23,29
0736,2016,24,34
0736,2016,25,34
0736,2016,26,27
0736,2016,27,29
0736,2016,28,25
0736,2016,29,24
0736,2016,30,31
0736,2016,31,26
0736,2016,32,30
0736,2016,33,29
0736,2016,34,37
0736,2016,35,32
0736,2016,36,27
0736,2016,37,38
0736,2016,38,17
0736,2016,39,31
0736,2016,40,25
0736,2016,41,30
0736,2016,42,27
0736,2016,43,30
0736,2016,44,46
0736,2016,45,37
0736,2016,46,34
0736,2016,47,38
0736,2016,48,35
0736,2016,49,36
0736,2016,50,41
0736,2016,51,31
0736,2016,52,37
0736,2016,53,40
0736,2017,1,30
0736,2017,2,26
0736,2017,3,43
0736,2017,4,36
0736,2017,5,24
0736,2017,6,39
0736,2017,7,35
0736,2017,8,40
0736,2017,9,25
0736,2017,10,40
0736,2017,11,33
0736,2017,12,30
0736,2017,13,36
0736,2017,14,30
0736,2017,15,38
0736,2017,16,25
0736,2017,17,42
0736,2017,18,34
0736,2017,19,27
0736,2017,20,31
0736,2017,21,41
0736,2017,22,24
0736,2017,23,33
0736,2017,24,28
0736,2017,25,28
0736,2017,26,31
0736,2017,27,26
0736,2017,28,34
0736,2017,29,46
0736,2017,30,38
0736,2017,31,43
0736,2017,32,32
0736,2017,33,31
0736,2017,34,42
0736,2017,35,30
0736,2017,36,38
0736,2017,37,36
0736,2017,38,25
0736,2017,39,32
0736,2017,40,31
0736,2017,41,33
0736,2017,42,37
0736,2017,43,32
0736,2017,44,38
0736,2017,45,38
0736,2017,46,45
0736,2017,47,34
0736,2017,48,38
0736,2017,49,37
0736,2017,50,39
0736,2017,51,39
0736,2017,52,27
0736,2017,53,27
0738,2016,1,18
0738,2016,2,18
0738,2016,3,23
0738,2016,4,21
0738,2016,5,16
0738,2016,6,20
0738,2016,7,4
0738,2016,8,33
0738,2016,9,31
0738,2016,10,34
0738,2016,11,12
0738,2016,12,25
0738,2016,13,12
0738,2016,14,18
0738,2016,15,19
0738,2016,16,25
0738,2016,17,12
0738,2016,18,26
0738,2016,19,21
0738,2016,20,23
0738,2016,21,20
0738,2016,22,16
0738,2016,23,9
0738,2016,24,10
0738,2016,25,6
0738,2016,26,25
0738,2016,27,20
0738,2016,28,12
0738,2016,29,20
0738,2016,30,15
0738,2016,31,7
